brand_id,Product Category,tpt_sep_2025,tpv_sep_2025,tpt_aug_2025,tpv_aug_2025,tpt_jul_2025,tpv_jul_2025,tpt_jun_2025,tpv_jun_2025,tpt_may_2025,tpv_may_2025,tpt_apr_2025,tpv_apr_2025,tpt_mar_2025,tpv_mar_2025,tpt_feb_2025,tpv_feb_2025,tpt_jan_2025,tpv_jan_2025,tpt_dec_2024,tpv_dec_2024,tpt_nov_2024,tpv_nov_2024,tpt_oct_2024,tpv_oct_2024
MCH-2240-9867009897347,DIRECT API,"5,695,612","283,645,080,629","5,466,232","290,664,656,186","5,165,642","282,038,357,105","3,878,150","215,660,595,795","3,980,677","230,337,161,241","3,917,333","221,438,175,854","4,925,471","275,337,321,544","3,396,126","201,211,173,285","3,730,030","220,565,020,582","3,117,547","201,443,972,847","3,040,617","189,529,999,025","2,734,256","172,511,762,051"
MCH-0825-1632389587362,DIRECT API,"1,750,064","76,072,650,169","1,742,467","78,460,283,931","1,796,337","78,323,182,900","1,763,971","75,853,588,554","1,946,208","79,784,512,561","1,827,964","77,193,770,268","2,064,331","85,832,294,183","1,746,451","70,827,482,732","2,119,663","80,466,343,224","1,914,970","80,387,074,027","1,806,722","76,168,357,989","1,707,009","73,815,475,426"
MCH-1163-1155332941284,DIRECT API,"1,691,564","547,105,222,032","1,803,843","556,505,166,920","1,985,027","612,813,271,905","1,907,742","557,346,083,451","2,015,179","537,789,872,720","1,851,283","457,687,983,490","2,109,238","559,193,795,872","1,871,367","462,372,353,027","1,894,741","469,982,350,872","1,886,680","491,536,628,685","1,751,839","458,816,344,410","1,682,908","448,715,000,368"
OCO-0000-0000000250691,DIRECT API,"663,869","112,658,501,146","698,740","118,355,514,275","797,144","134,837,154,432","774,749","129,030,980,218","824,610","134,264,408,893","774,747","118,655,515,967","861,459","134,698,045,791","764,941","115,199,017,593","763,646","116,535,484,540","740,005","120,875,757,893","659,575","110,565,968,612","644,868","113,808,711,797"
BRN-0262-1711016864156,DIRECT API,"565,230","8,878,518,000","1,004,770","12,427,458,000","769,318","7,192,706,900","529,423","4,298,415,200","686,496","4,697,311,800","509,190","3,224,582,200","435,661","2,925,511,500","102,451","756,755,000","132,037","919,482,500","96,173","678,632,000","9,861","123,941,500","9,629","141,158,500"
OCO-0000-0000000251025,DIRECT API,"565,176","186,805,848,363","558,314","187,254,516,028","577,253","193,455,190,049","551,677","175,432,279,128","584,372","174,390,988,005","512,808","152,771,940,383","575,898","169,946,758,273","549,424","154,653,448,058","589,531","159,994,145,222","558,832","153,427,724,444","569,352","150,572,141,154","620,870","154,795,250,352"
OCO-0282-1678621365583,DIRECT API,"497,032","16,513,545,014","486,066","16,701,449,232","500,516","18,499,020,677","519,388","16,974,470,820","425,164","16,066,331,684","682,455","23,879,679,617","684,363","21,453,569,604","470,261","15,650,570,381","770,126","19,758,043,570","428,679","15,866,500,995","431,740","15,356,958,152","372,142","14,342,358,136"
OCO-0000-0000000001866,DIRECT API,"443,203","110,706,558,858","448,758","109,500,065,216","464,805","116,116,564,965","424,169","103,580,805,834","494,186","112,913,004,078","462,518","102,820,039,546","580,996","126,072,568,054","542,522","116,957,641,358","592,923","129,513,751,467","564,945","125,451,749,479","550,123","120,238,527,104","630,609","132,123,269,878"
BRN-0247-1671448221428,DIRECT API,"306,258","774,513,473,907","274,393","694,584,451,285","257,897","688,722,340,668","232,322","636,606,462,899","230,183","630,107,672,686","203,362","543,899,986,289","206,081","600,482,159,876","194,129","544,185,942,060","204,898","578,272,406,056","206,302","612,639,657,894","192,927","555,408,696,052","201,631","592,838,967,304"
BRN-0230-1650508963111,DIRECT API,"269,358","8,269,708,132","314,071","9,644,045,050","321,206","9,940,922,434","361,090","11,161,074,113","426,974","13,188,631,448","389,949","12,355,844,290","382,296","11,949,232,493","337,127","10,358,639,889","333,185","10,150,328,780","355,821","10,977,470,339","282,646","8,508,859,923","259,515","7,772,444,400"
BRN-0255-1686714472865,DIRECT API,"222,040","29,299,437,100","220,361","28,552,980,800","232,200","28,582,781,700","227,744","33,552,952,100","257,659","36,208,130,000","221,834","28,155,471,100","385,368","55,128,706,200","232,484","29,797,414,800","259,554","31,479,989,100","265,931","32,071,020,600","292,568","33,948,161,600","264,306","31,723,140,831"
BRN-0215-1724820336331,DIRECT API,"190,578","30,074,909,323","241,402","37,691,140,767","329,083","49,327,495,074","207,021","31,504,241,210","279,902","41,097,466,481","143,668","21,724,241,974","90,432","13,449,248,968","478,806","67,786,823,645","509,190","73,167,859,624","500,781","71,101,196,773","269,838","38,250,292,981","8,414","1,218,304,940"
OCO-0000-0000000251479,DIRECT API,"179,953","37,577,248,149","191,182","38,890,667,536","208,747","41,864,725,833","200,595","39,234,177,237","208,857","38,667,979,016","200,240","33,767,984,696","221,169","38,907,403,471","178,109","31,074,379,325","189,002","35,147,082,438","185,131","34,983,842,908","165,454","33,332,830,690","158,767","34,727,613,205"
OCO-0206-1649040732274,DIRECT API,"120,862","29,520,588,437","125,586","30,794,919,357","130,208","32,033,237,101","132,571","32,646,179,835","139,208","34,257,732,896","141,639","34,828,374,069","147,445","36,242,064,167","142,788","35,220,888,836","154,605","38,125,803,173","164,060","40,357,273,363","164,042","40,338,984,281","172,039","42,371,357,964"
OCO-0204-1648647930398,DIRECT API,"115,261","34,796,996,520","121,669","37,147,251,411","126,029","38,656,793,876","114,861","35,654,122,387","127,598","39,346,441,225","115,123","35,649,672,728","131,560","40,829,038,488","104,832","32,194,757,507","117,080","35,869,870,687","122,818","37,770,622,407","112,735","34,809,047,171","126,601","39,093,428,233"
OCO-0205-1649040229297,DIRECT API,"114,642","4,738,852,509","132,821","4,865,085,905","97,228","3,408,376,958","101,850","2,524,520,473","249,679","3,233,761,723","388,483","4,246,412,538","268,420","3,448,746,422",453,"51,200,000","1,038","278,457,731",393,"45,045,075",624,"68,457,950",491,"50,267,030"
BRN-0284-1657787267931,DIRECT API,"98,782","444,205,111,907","93,681","446,391,051,939","90,971","397,577,091,094","84,017","349,959,325,071","90,743","369,106,283,200","79,679","331,061,175,929","73,399","351,283,253,705","69,212","339,328,016,840","79,498","403,209,632,697","83,466","357,495,983,318","71,876","322,540,840,503","61,313","264,290,613,934"
MCH-2180-9693454400626,DIRECT API,"95,048","9,114,873,733","95,354","9,363,858,753","96,891","9,486,178,470","91,060","8,857,642,740","93,505","9,132,199,431","71,503","6,942,160,437","105,899","10,935,046,854","83,881","8,343,638,549","85,216","8,871,567,853","93,285","10,355,709,336","83,699","8,434,234,839","86,852","8,603,182,600"
BRN-0234-1650516555604,DIRECT API,"87,189","46,088,985,305","81,334","43,294,968,838","75,892","40,746,289,462","65,640","35,010,194,992","55,592","30,747,844,589","34,017","19,400,933,734","35,365","20,516,933,634","39,530","24,673,310,179","36,538","21,752,055,899","36,805","22,011,682,849","32,121","19,429,854,801","28,159","17,451,853,138"
BRN-0230-1704179143764,DIRECT API,"84,752","6,519,408,235","84,410","6,562,529,463","90,889","7,499,752,898","91,323","7,714,842,477","92,957","8,208,986,601","77,519","7,382,545,566","79,201","7,170,609,392","75,508","7,380,996,617","78,347","8,225,337,409","84,350","8,231,682,606","82,402","7,851,056,411","88,689","7,568,348,852"
